Year,Unemployment Rate
1992-01-01,2.1
1993-01-01,2.1
1994-01-01,2.0
1995-01-01,2.3
1996-01-01,2.2
1997-01-01,1.8
1998-01-01,2.5
1999-01-01,3.7
2000-01-01,4.6
2001-01-01,3.0
2002-01-01,4.5
2003-01-01,4.7
2004-01-01,4.7
2005-01-01,4.4
2006-01-01,3.5
2007-01-01,3.1
2008-01-01,3.0
2009-01-01,4.5
2010-01-01,3.1
2011-01-01,2.9
2012-01-01,2.8
2013-01-01,2.9
2014-01-01,2.8
2015-01-01,2.8
2016-01-01,3.0
2017-01-01,3.1
2018-01-01,2.9
2019-01-01,3.2
2020-01-01,4.0
2021-01-01,3.6
2022-01-01,2.8
